NOME_PRODUTO,CATEGORIA_REGULATORIA,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO,EMPRESA_DETENTORA_REGISTRO
EPYSQLI,Biológico,AGENTE IMUNOSUPRESSOR,eculizumabe,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
HERCULIZ,Biológico,AGENTE IMUNOSUPRESSOR,eculizumabe,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
OMVOH,Biológico,AGENTE IMUNOSUPRESSOR,MIRIQUIZUMABE,ELI LILLY DO BRASIL LTDA
ATGAM,Biológico,AGENTE IMUNOSUPRESSOR,SORO ANTITIMÓCITO (EQUINO) ,PFIZER BRASIL LTDA
BLAUTOX,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BLAU FARMACÊUTICA S.A.
BOTOX,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,ABBVIE FARMACÊUTICA LTDA.
BOTULIFT,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
BOTULIM,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BLAU FARMACÊUTICA S.A.
DYSPORT,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BEAUFOUR IPSEN FARMACÊUTICA LTDA
LETYBO,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,GLOBAL REGULATORY PARTNERS BRASIL LTDA
NABOTA,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA
XEOMIN,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,MERZ FARMACÊUTICA COMERCIAL LTDA
BLENREP,Biológico,AGENTES ANTINEOPLÁSICOS,BELANTAMABE MAFODOTINA,GLAXOSMITHKLINE BRASIL LTDA
ELOVIE,Biológico,AGENTES ANTINEOPLÁSICOS,BEVACIZUMABE,LIBBS FARMACÊUTICA LTDA
DATROWAY,Biológico,AGENTES ANTINEOPLÁSICOS,DATOPOTAMABE DERUXTECANA,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
PADCEV,Biológico,AGENTES ANTINEOPLÁSICOS,ENFORTUMABE VEDOTINA,PFIZER BRASIL LTDA
ZYNLONTA,Biológico,AGENTES ANTINEOPLÁSICOS,LONCASTUXIMABE TESIRINA,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA
OPDUALAG,Biológico,AGENTES ANTINEOPLÁSICOS,"nivolumabe, RELATLIMABE",BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
OLIZU,Biológico,AGENTES ANTINEOPLÁSICOS,SERPLULIMABE,ABBOTT LABORATÓRIOS DO BRASIL LTDA
TEVIMBRA,Biológico,AGENTES ANTINEOPLÁSICOS,TISLELIZUMABE,BEONE MEDICINES BRASIL LTDA
TYENNE,Biológico,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,tocilizumabe,FRESENIUS KABI BRASIL LTDA
EYDENZELT,Biológico,AGENTES ANTINEOVASCULARIZAÇÃO,aflibercepte,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
ALBIOPLAS,Biológico,ALBUMINA,ALBUMINA HUMANA,ASP-FARMACÊUTICA LTDA
ALIBSTAR,Biológico,ALBUMINA,ALBUMINA HUMANA,PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MÉDICOS LTDA
INSETIVAC,Biológico,ALERGENOS,EXTRATOS ALERGÊNICOS DE INSETOS SUGADORES,LABORATORIO DE EXTRATOS ALERGENICOS LTDA
PLUSVAC,Biológico,ALERGENOS,"LÃ DE CARNEIRO, FUNGOS DE AR, FUNGOS DO AR, ÁCAROS, ANTIGENOS BACTERIANOS SOB A FORMA DE LISADOS, ANTÍGENOS BACTERIANAS SOB A FORMA DE LISADO",LABORATORIO DE EXTRATOS ALERGENICOS LTDA
EXTRATO ALERGÊNICO BACTERIANO,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE ÁCAROS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE ALIMENTOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGENICO DE DERIVADOS EPIDERMICOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE INSETOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE PÓLEN,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATOS ALERGÊNICOS DE ÁCAROS CONCENTRADOS,Biológico,ALERGENOS,PROTEÍNAS,LABORATORIO DE EXTRATOS ALERGENICOS LTDA
NUWIQ,Biológico,ANTI-HEMORRAGICOS, alfasimoctocogue,OCTAPHARMA BRASIL LTDA
